day,fills,pnl_EMERALDS,pnl_TOMATOES,pos_EMERALDS,pos_TOMATOES,timestamp
-1,0,0.0,0.0,0,0,0
-1,0,0.0,0.0,0,0,100
-1,0,0.0,0.0,0,0,200
-1,0,0.0,0.0,0,0,300
-1,0,0.0,0.0,0,0,400
-1,0,0.0,0.0,0,0,500
-1,0,0.0,0.0,0,0,600
-1,0,0.0,0.0,0,0,700
-1,0,0.0,0.0,0,0,800
-1,0,0.0,0.0,0,0,900
-1,0,0.0,0.0,0,0,1000
-1,1,0.0,-24.0,0,-8,1100
-1,0,0.0,0.0,0,-8,1200
-1,0,0.0,-4.0,0,-8,1300
-1,0,0.0,0.0,0,-8,1400
-1,0,0.0,-32.0,0,-8,1500
-1,0,0.0,-4.0,0,-8,1600
-1,0,0.0,0.0,0,-8,1700
-1,0,0.0,4.0,0,-8,1800
-1,0,0.0,4.0,0,-8,1900
-1,0,0.0,8.0,0,-8,2000
-1,0,0.0,12.0,0,-8,2100
-1,0,0.0,24.0,0,-8,2200
-1,0,0.0,28.0,0,-8,2300
-1,0,0.0,32.0,0,-8,2400
-1,0,0.0,36.0,0,-8,2500
-1,0,0.0,36.0,0,-8,2600
-1,0,0.0,28.0,0,-8,2700
-1,0,0.0,24.0,0,-8,2800
-1,0,0.0,24.0,0,-8,2900
-1,0,0.0,32.0,0,-8,3000
-1,0,0.0,32.0,0,-8,3100
-1,0,0.0,36.0,0,-8,3200
-1,0,0.0,32.0,0,-8,3300
-1,0,0.0,36.0,0,-8,3400
-1,0,0.0,44.0,0,-8,3500
-1,0,0.0,44.0,0,-8,3600
-1,0,0.0,44.0,0,-8,3700
-1,0,0.0,48.0,0,-8,3800
-1,0,0.0,40.0,0,-8,3900
-1,0,0.0,36.0,0,-8,4000
-1,0,0.0,36.0,0,-8,4100
-1,0,0.0,36.0,0,-8,4200
-1,1,0.0,47.0,0,-2,4300
-1,0,0.0,41.0,0,-2,4400
-1,0,0.0,40.0,0,-2,4500
-1,0,0.0,40.0,0,-2,4600
-1,0,0.0,40.0,0,-2,4700
-1,0,0.0,40.0,0,-2,4800
-1,0,0.0,40.0,0,-2,4900
-1,0,0.0,39.0,0,-2,5000
-1,0,0.0,39.0,0,-2,5100
-1,0,0.0,39.0,0,-2,5200
-1,0,0.0,39.0,0,-2,5300
-1,0,0.0,39.0,0,-2,5400
-1,0,0.0,39.0,0,-2,5500
-1,0,0.0,39.0,0,-2,5600
-1,0,0.0,32.0,0,-2,5700
-1,0,0.0,41.0,0,-2,5800
-1,0,0.0,41.0,0,-2,5900
-1,0,0.0,40.0,0,-2,6000
-1,0,0.0,40.0,0,-2,6100
-1,0,0.0,39.0,0,-2,6200
-1,0,0.0,40.0,0,-2,6300
-1,0,0.0,40.0,0,-2,6400
-1,0,0.0,40.0,0,-2,6500
-1,0,0.0,39.0,0,-2,6600
-1,0,0.0,39.0,0,-2,6700
-1,0,0.0,37.0,0,-2,6800
-1,0,0.0,38.0,0,-2,6900
-1,0,0.0,37.0,0,-2,7000
-1,0,0.0,35.0,0,-2,7100
-1,0,0.0,36.0,0,-2,7200
-1,0,0.0,36.0,0,-2,7300
-1,0,0.0,36.0,0,-2,7400
-1,0,0.0,35.0,0,-2,7500
-1,0,0.0,34.0,0,-2,7600
-1,0,0.0,34.0,0,-2,7700
-1,0,0.0,35.0,0,-2,7800
-1,0,0.0,33.0,0,-2,7900
-1,0,0.0,33.0,0,-2,8000
-1,0,0.0,32.0,0,-2,8100
-1,0,0.0,32.0,0,-2,8200
-1,0,0.0,32.0,0,-2,8300
-1,0,0.0,30.0,0,-2,8400
-1,0,0.0,30.0,0,-2,8500
-1,0,0.0,30.0,0,-2,8600
-1,0,0.0,29.0,0,-2,8700
-1,0,0.0,29.0,0,-2,8800
-1,0,0.0,30.0,0,-2,8900
-1,0,0.0,30.0,0,-2,9000
-1,0,0.0,31.0,0,-2,9100
-1,0,0.0,30.0,0,-2,9200
-1,0,0.0,30.0,0,-2,9300
-1,0,0.0,31.0,0,-2,9400
-1,0,0.0,31.0,0,-2,9500
-1,0,0.0,32.0,0,-2,9600
-1,0,0.0,31.0,0,-2,9700
-1,0,0.0,31.0,0,-2,9800
-1,0,0.0,31.0,0,-2,9900
-1,0,0.0,31.0,0,-2,10000
-1,0,0.0,30.0,0,-2,10100
-1,0,0.0,28.0,0,-2,10200
-1,0,0.0,27.0,0,-2,10300
-1,0,0.0,27.0,0,-2,10400
-1,0,0.0,26.0,0,-2,10500
-1,0,0.0,33.0,0,-2,10600
-1,0,0.0,27.0,0,-2,10700
-1,0,0.0,29.0,0,-2,10800
-1,0,0.0,31.0,0,-2,10900
-1,0,0.0,32.0,0,-2,11000
-1,0,0.0,33.0,0,-2,11100
-1,0,0.0,32.0,0,-2,11200
-1,0,0.0,33.0,0,-2,11300
-1,0,0.0,33.0,0,-2,11400
-1,0,0.0,33.0,0,-2,11500
-1,0,0.0,33.0,0,-2,11600
-1,0,0.0,33.0,0,-2,11700
-1,1,0.0,21.5,0,3,11800
-1,0,0.0,32.0,0,3,11900
-1,0,0.0,29.0,0,3,12000
-1,0,0.0,30.5,0,3,12100
-1,0,0.0,33.5,0,3,12200
-1,0,0.0,35.0,0,3,12300
-1,0,0.0,36.5,0,3,12400
-1,0,0.0,35.0,0,3,12500
-1,0,0.0,33.5,0,3,12600
-1,0,0.0,30.5,0,3,12700
-1,0,0.0,30.5,0,3,12800
-1,0,0.0,29.0,0,3,12900
-1,0,0.0,29.0,0,3,13000
-1,0,0.0,26.0,0,3,13100
-1,0,0.0,27.5,0,3,13200
-1,0,0.0,27.5,0,3,13300
-1,0,0.0,29.0,0,3,13400
-1,0,0.0,30.5,0,3,13500
-1,0,0.0,30.5,0,3,13600
-1,1,0.0,26.0,0,-2,13700
-1,0,0.0,35.0,0,-2,13800
-1,1,0.0,22.0,0,4,13900
-1,0,0.0,38.0,0,4,14000
-1,0,0.0,36.0,0,4,14100
-1,0,0.0,36.0,0,4,14200
-1,0,0.0,34.0,0,4,14300
-1,0,0.0,38.0,0,4,14400
-1,0,0.0,34.0,0,4,14500
-1,1,0.0,15.0,0,6,14600
-1,0,0.0,30.0,0,6,14700
-1,0,0.0,30.0,0,6,14800
-1,0,0.0,42.0,0,6,14900
-1,0,0.0,30.0,0,6,15000
-1,0,0.0,33.0,0,6,15100
-1,0,0.0,30.0,0,6,15200
-1,0,0.0,30.0,0,6,15300
-1,0,0.0,30.0,0,6,15400
-1,0,0.0,33.0,0,6,15500
-1,0,0.0,36.0,0,6,15600
-1,0,0.0,36.0,0,6,15700
-1,0,0.0,42.0,0,6,15800
-1,0,0.0,21.0,0,6,15900
-1,0,0.0,36.0,0,6,16000
-1,0,0.0,18.0,0,6,16100
-1,0,0.0,33.0,0,6,16200
-1,0,0.0,27.0,0,6,16300
-1,0,0.0,30.0,0,6,16400
-1,0,0.0,30.0,0,6,16500
-1,0,0.0,30.0,0,6,16600
-1,0,0.0,27.0,0,6,16700
-1,0,0.0,30.0,0,6,16800
-1,0,0.0,27.0,0,6,16900
-1,0,0.0,27.0,0,6,17000
-1,0,0.0,24.0,0,6,17100
-1,0,0.0,27.0,0,6,17200
-1,0,0.0,30.0,0,6,17300
-1,0,0.0,45.0,0,6,17400
-1,0,0.0,30.0,0,6,17500
-1,0,0.0,27.0,0,6,17600
-1,0,0.0,27.0,0,6,17700
-1,0,0.0,27.0,0,6,17800
-1,0,0.0,24.0,0,6,17900
-1,0,0.0,21.0,0,6,18000
-1,0,0.0,24.0,0,6,18100
-1,0,0.0,21.0,0,6,18200
-1,0,0.0,18.0,0,6,18300
-1,0,0.0,18.0,0,6,18400
-1,1,0.0,-10.0,0,8,18500
-1,0,0.0,10.0,0,8,18600
-1,0,0.0,10.0,0,8,18700
-1,0,0.0,2.0,0,8,18800
-1,0,0.0,-2.0,0,8,18900
-1,0,0.0,-2.0,0,8,19000
-1,0,0.0,-6.0,0,8,19100
-1,0,0.0,-6.0,0,8,19200
-1,0,0.0,2.0,0,8,19300
-1,0,0.0,6.0,0,8,19400
-1,0,0.0,6.0,0,8,19500
-1,0,0.0,2.0,0,8,19600
-1,0,0.0,6.0,0,8,19700
-1,0,0.0,6.0,0,8,19800
-1,0,0.0,2.0,0,8,19900
-1,0,0.0,2.0,0,8,20000
-1,0,0.0,-2.0,0,8,20100
-1,0,0.0,6.0,0,8,20200
-1,0,0.0,6.0,0,8,20300
-1,1,0.0,-40.0,0,12,20400
-1,0,0.0,20.0,0,12,20500
-1,0,0.0,-4.0,0,12,20600
-1,0,0.0,26.0,0,12,20700
-1,0,0.0,2.0,0,12,20800
-1,0,0.0,8.0,0,12,20900
-1,0,0.0,14.0,0,12,21000
-1,0,0.0,2.0,0,12,21100
-1,0,0.0,-10.0,0,12,21200
-1,0,0.0,-4.0,0,12,21300
-1,0,0.0,-10.0,0,12,21400
-1,0,0.0,2.0,0,12,21500
-1,0,0.0,2.0,0,12,21600
-1,0,0.0,2.0,0,12,21700
-1,0,0.0,2.0,0,12,21800
-1,0,0.0,-10.0,0,12,21900
-1,0,0.0,-4.0,0,12,22000
-1,0,0.0,-10.0,0,12,22100
-1,0,0.0,-10.0,0,12,22200
-1,0,0.0,-10.0,0,12,22300
-1,0,0.0,-22.0,0,12,22400
