day,timestamp,symbol,price,quantity,side
-1,1100,TOMATOES,5007,-8,SELL
-1,1500,TOMATOES,5008,-8,SELL
-1,4300,TOMATOES,5002,6,BUY
-1,13700,TOMATOES,5006,-5,SELL
-1,13900,TOMATOES,5004,6,BUY
-1,14600,TOMATOES,5004,2,BUY
-1,18500,TOMATOES,5001,2,BUY
-1,20400,TOMATOES,4999,4,BUY
-1,26800,TOMATOES,4994,6,BUY
-1,30000,TOMATOES,4988,7,BUY
-1,33200,TOMATOES,4989,8,BUY
-1,61400,TOMATOES,4990,-6,SELL
-1,66100,TOMATOES,4990,-8,SELL
-1,70500,TOMATOES,4987,3,BUY
-1,74100,TOMATOES,4988,-6,SELL
-1,74500,TOMATOES,4989,-3,SELL
-1,75000,TOMATOES,4990,-11,SELL
-1,77200,TOMATOES,4990,-9,SELL
-1,80800,TOMATOES,4990,9,BUY
-1,85800,TOMATOES,4985,6,BUY
-1,88600,TOMATOES,4983,5,BUY
-1,91000,TOMATOES,4979,5,BUY
-1,97400,TOMATOES,4985,-6,SELL
-1,101500,TOMATOES,4985,-6,SELL
-1,102300,TOMATOES,4986,-4,SELL
-1,105400,TOMATOES,4988,-9,SELL
-1,106100,TOMATOES,4985,12,BUY
-1,106300,TOMATOES,4987,4,BUY
-1,106400,TOMATOES,4986,6,BUY
-1,113000,TOMATOES,4993,-8,SELL
-1,117600,TOMATOES,4998,-8,SELL
-1,118600,TOMATOES,4996,-6,SELL
-1,122500,TOMATOES,4995,8,BUY
-1,125900,TOMATOES,4993,6,BUY
-1,129700,TOMATOES,4994,3,BUY
-1,135800,TOMATOES,4993,3,BUY
-1,135900,TOMATOES,4991,9,BUY
-1,136300,TOMATOES,4995,-5,SELL
-1,140200,TOMATOES,4991,6,BUY
-1,140600,TOMATOES,4993,3,BUY
-1,141700,TOMATOES,4997,-10,SELL
-1,141800,TOMATOES,4997,-12,SELL
-1,144300,TOMATOES,4992,7,BUY
-1,154300,TOMATOES,4990,-11,SELL
-1,156600,TOMATOES,4988,10,BUY
-1,157300,TOMATOES,4990,4,BUY
-1,159900,TOMATOES,4985,5,BUY
-1,160700,TOMATOES,4983,9,BUY
-1,162400,TOMATOES,4983,5,BUY
-1,174700,TOMATOES,4992,-6,SELL
-1,180500,TOMATOES,4987,6,BUY
-1,182300,TOMATOES,4991,-10,SELL
-1,183700,TOMATOES,4990,-6,SELL
-1,189100,TOMATOES,4993,-5,SELL
-1,189200,TOMATOES,4994,-8,SELL
-1,195600,TOMATOES,4991,-11,SELL
-1,215200,TOMATOES,4995,11,BUY
-1,215700,TOMATOES,4996,6,BUY
-1,217300,TOMATOES,4993,12,BUY
-1,220800,TOMATOES,4986,5,BUY
-1,221600,TOMATOES,4987,5,BUY
-1,224200,TOMATOES,4989,1,BUY
-1,240300,TOMATOES,4985,-8,SELL
-1,245700,TOMATOES,4988,-5,SELL
-1,245800,TOMATOES,4988,-5,SELL
-1,250000,TOMATOES,4984,5,BUY
-1,250700,TOMATOES,4983,9,BUY
-1,253300,TOMATOES,4986,-6,SELL
-1,253500,TOMATOES,4984,9,BUY
-1,255400,TOMATOES,4985,1,BUY
-1,258700,TOMATOES,4986,-6,SELL
-1,264400,TOMATOES,4988,-12,SELL
-1,266100,TOMATOES,4987,-6,SELL
-1,269900,TOMATOES,4987,-6,SELL
-1,271600,TOMATOES,4986,-8,SELL
-1,275000,TOMATOES,4986,-2,SELL
-1,279200,TOMATOES,4987,4,BUY
-1,280100,TOMATOES,4982,8,BUY
-1,281800,TOMATOES,4982,12,BUY
-1,283300,TOMATOES,4983,5,BUY
-1,284400,TOMATOES,4983,4,BUY
-1,284700,TOMATOES,4981,3,BUY
-1,285900,TOMATOES,4980,4,BUY
-1,287100,TOMATOES,4982,-9,SELL
-1,287500,TOMATOES,4983,-9,SELL
-1,299500,TOMATOES,4988,-6,SELL
-1,301600,TOMATOES,4983,9,BUY
-1,302500,TOMATOES,4985,3,BUY
-1,316400,TOMATOES,4979,12,BUY
-1,319100,TOMATOES,4983,-4,SELL
-1,321500,TOMATOES,4982,4,BUY
-1,328100,TOMATOES,4986,-5,SELL
-1,332500,TOMATOES,4985,4,BUY
-1,334200,TOMATOES,4987,-10,SELL
-1,335800,TOMATOES,4991,-8,SELL
-1,336300,TOMATOES,4990,-5,SELL
-1,336400,TOMATOES,4989,-6,SELL
-1,337600,TOMATOES,4986,5,BUY
-1,339000,TOMATOES,4985,11,BUY
-1,339800,TOMATOES,4987,-11,SELL
-1,339900,TOMATOES,4987,6,BUY
-1,341100,TOMATOES,4988,-5,SELL
-1,343700,TOMATOES,4991,-12,SELL
-1,349300,TOMATOES,4994,-4,SELL
-1,364100,TOMATOES,4996,6,BUY
-1,365200,TOMATOES,4999,-4,SELL
-1,366100,TOMATOES,4999,-2,SELL
-1,369200,TOMATOES,4994,12,BUY
-1,375400,TOMATOES,4994,3,BUY
-1,380500,TOMATOES,4992,9,BUY
-1,388700,TOMATOES,4996,11,BUY
-1,388900,TOMATOES,4996,2,BUY
-1,391200,TOMATOES,4999,-9,SELL
-1,399000,TOMATOES,4991,5,BUY
-1,399100,TOMATOES,4992,5,BUY
-1,400200,TOMATOES,4991,1,BUY
-1,402200,TOMATOES,4993,1,BUY
-1,411500,TOMATOES,4989,-9,SELL
-1,416100,TOMATOES,4988,2,BUY
-1,416700,TOMATOES,4983,7,BUY
-1,420100,TOMATOES,4990,-10,SELL
-1,420500,TOMATOES,4989,-11,SELL
-1,426000,TOMATOES,4992,-5,SELL
-1,428100,TOMATOES,4991,9,BUY
-1,432300,TOMATOES,4997,-5,SELL
-1,432400,TOMATOES,4997,-8,SELL
-1,433500,TOMATOES,4996,-3,SELL
-1,434000,TOMATOES,4999,-7,SELL
-1,445900,TOMATOES,4995,10,BUY
-1,448100,TOMATOES,4996,10,BUY
-1,450000,TOMATOES,4996,12,BUY
-1,452200,TOMATOES,5002,-3,SELL
-1,453200,TOMATOES,5003,-4,SELL
-1,458700,TOMATOES,4999,9,BUY
-1,459400,TOMATOES,4999,6,BUY
-1,470500,TOMATOES,4993,-9,SELL
-1,476800,TOMATOES,4985,5,BUY
-1,477000,TOMATOES,4983,4,BUY
-1,494000,TOMATOES,4980,-3,SELL
-1,495400,TOMATOES,4980,3,BUY
-1,511800,TOMATOES,4976,-7,SELL
-1,516400,TOMATOES,4972,6,BUY
-1,518200,TOMATOES,4973,-6,SELL
-1,519700,TOMATOES,4974,-10,SELL
-1,523100,TOMATOES,4977,-12,SELL
-1,531000,TOMATOES,4981,-2,SELL
-1,535800,TOMATOES,4980,7,BUY
-1,536400,TOMATOES,4982,-10,SELL
-1,538200,TOMATOES,4981,7,BUY
-1,540500,TOMATOES,4980,5,BUY
-1,541600,TOMATOES,4977,7,BUY
-1,547400,TOMATOES,4971,3,BUY
-1,549300,TOMATOES,4970,2,BUY
-1,549400,TOMATOES,4970,2,BUY
-1,552600,TOMATOES,4969,2,BUY
-1,556200,TOMATOES,4973,-8,SELL
-1,558800,TOMATOES,4971,4,BUY
-1,570300,TOMATOES,4975,-4,SELL
-1,571800,TOMATOES,4973,12,BUY
-1,578500,TOMATOES,4972,2,BUY
-1,579600,TOMATOES,4974,-2,SELL
-1,579700,TOMATOES,4974,-5,SELL
-1,587500,TOMATOES,4968,6,BUY
-1,591200,TOMATOES,4974,-4,SELL
-1,593400,TOMATOES,4971,3,BUY
-1,599300,TOMATOES,4972,-7,SELL
-1,604400,TOMATOES,4972,9,BUY
-1,609000,TOMATOES,4972,-11,SELL
-1,611900,TOMATOES,4974,-10,SELL
-1,612600,TOMATOES,4972,7,BUY
-1,613200,TOMATOES,4976,-7,SELL
-1,615700,TOMATOES,4973,-12,SELL
-1,616400,TOMATOES,4973,-7,SELL
-1,622900,TOMATOES,4972,10,BUY
-1,628000,TOMATOES,4970,10,BUY
